Date/Time	08.06.15	11	54	5	Sample	1045_Steel	10.1	mm
Operator	MRS	Reference	-----	0	mm			
Laboratory	NIST	Atmosphere	He	20	l/h			
Comment	Run	to	-10C	Zero	Piston	None		
	1.881	37	0.76	40	3.0731			
	1.891	37.1	0.7085	40.1	3.1433			
	1.901	37.1	0.8233	40.1	3.0731			
	1.911	37.2	0.82	40.2	3.067			
	1.921	37.2	0.7668	40.2	3.0762			
	1.931	37.3	0.7067	40.3	3.1372			
	1.941	37.3	0.7249	40.3	3.0762			
	1.951	37.4	0.8672	40.4	3.067			
	1.961	37.4	0.7735	40.4	3.0762			
	1.971	37.5	0.7439	40.5	3.1067			
	1.981	37.5	0.8304	40.5	3.1067			
	1.991	37.6	0.9141	40.6	3.1769			
	2.001	37.6	0.9599	40.6	3.1067			
	2.011	37.7	0.9248	40.7	3.1097			
	2.021	37.7	0.7946	40.7	3.1097			
	2.031	37.7	0.7961	40.8	3.1799			
	2.041	37.8	0.7424	40.8	3.1097			
	2.051	37.9	0.8136	40.9	3.1006			
	2.061	37.9	0.7589	40.9	3.1097			
	2.071	38	0.7399	41	3.1036			
	2.081	38	0.6691	41	3.1128			
	2.091	38.1	0.7968	41.1	3.1036			
	2.101	38.1	0.7914	41.1	3.1036			
	2.111	38.2	0.9635	41.2	3.1403			
	2.121	38.2	0.9109	41.2	3.1403			
	2.131	38.3	0.9023	41.3	3.1433			
	2.141	38.3	0.9552	41.3	3.1433			
	2.151	38.4	0.967	41.4	3.1433			
	2.161	38.4	0.849	41.4	3.1433			
	2.171	38.5	0.8136	41.5	3.1433			
	2.181	38.5	0.8383	41.5	3.1433			
	2.191	38.6	0.9009	41.6	3.1372			
	2.201	38.6	0.9431	41.6	3.1464			
	2.211	38.7	0.9009	41.7	3.1372			
	2.221	38.8	0.7986	41.7	3.0792			
	2.231	38.8	0.8379	41.8	3.1403			
	2.241	38.8	0.9424	41.8	3.1769			
	2.251	38.9	0.8891	41.9	3.1769			
	2.261	39	0.9055	41.9	3.1097			
	2.271	39	0.9724	42	3.1769			
	2.281	39	0.9681	42	3.1769			
	2.291	39.1	0.9402	42.1	3.1799			
	2.301	39.2	0.9545	42.1	3.1128			
	2.311	39.2	0.8297	42.2	3.1708			
	2.321	39.3	0.9009	42.2	3.1128			
	2.331	39.3	1.0571	42.3	3.1799			
	2.341	39.4	1.1551	42.3	3.1799			
	2.351	39.4	0.9849	42.4	3.1738			
	2.361	39.5	1.0507	42.4	3.1158			
	2.371	39.5	1.065	42.5	3.1738			
	2.381	39.5	1.1233	42.5	3.2104			
	2.391	39.6	0.9731	42.6	3.2135			
	2.401	39.7	0.9209	42.6	3.1464			
	2.411	39.7	1.0339	42.7	3.2135			
	2.421	39.8	1.1244	42.7	3.1464			
	2.431	39.8	0.9896	42.8	3.2135			
	2.441	39.9	1.0461	42.8	3.1464			
	2.451	39.9	1.0986	42.9	3.2074			
	2.461	40	1.1755	42.9	3.1494			
